sentence,label
"There is only one question when it comes to abortion, what is it? If it is a human being then it requires a very high level of justification to take it's life. I have simply seen no argument that comes close to proper justification for the taking the life of a innocent human being. The only arguments I have seen are those that try to take away the embryo's humanity and make it less than human.  Roe vs Wade was a very poor decision by the Supreme Court because it introduce a major contradiction in the law. The unjustified taking of a human life is considered murder under current law and we have different degrees to further define it.   Consider the fact that if you kill a woman with child; you will be charged for two counts of homicide. But if a doctor kills only one of those persons; no charge.   The Supreme Court by their ruling overturned the law they were supposed to uphold. The right thing to do would be to overturn this erroneous ruling and restore our rule of law.
",0
"People often try to personalize their pro-life argument by saying ""imagine if YOUR mother had aborted YOU! YOU wouldn't be here!"" Well, to that I say I wouldn't have cared, I wouldn't have had the capacity to care! But people believe in reincarnation might say that I'd be somebody else! Another person! Probably still to the same mother! Who knows.... But if at the time, she really didn't want to have me, then I say it's her choice.
",1
"we're saying that the pregnant person should have the option to abort.   Then why is your argument tagged ""abortion should be banned""?  Also funny to note is that (at this time) your post is the top post on this side!?
",1
"No answer to my retort, just a down vote. That helps alot!?
",1
"I'm sooo sick of people like you who feel like they have to be contradicted to know that they're getting the point accross. It is ridiculous and is getting on my nerves.
",0
"I've lost everybody in this thread... can we just say that:  - stabbing a dog anywhere is kinda sick and is not ok (unless you eat dogs like in some countries).   - abortion should not be outlawed until week 20 into the pregnancy.  - people who are pro-life should keep their point of view and not force it on others and make them feel like they're murders, cos it's not like killing a person.
",1
"I would just like to add one more thing. Everyone who is for abortion seems to insist this should solely be the woman's decision. Why is that? What about the father? Why should he have no say in a child that he would have to bear legal responsibility to if it were born?  Suppose, a father says he does not want the child and she has it anyway. He is still legally liable to this child. Now, suppose the opposite. He wants the child, is willing to raise this child without any financial support from the mother and is willing to bear all financial burden of the mother while she is unable to work. He should not have this right?
",0
"The father's decision or the mother's decision? What does it have to do with the fact that it should be banned or not? This is a NON-ARGUMENT.
",1
"When the man has sex with a woman, he knows he is potentially creating a life. He must be prepared to accept whether the woman wants to keep it. It's inside her, not him.   Consider you taking your child over to a neighbour and asks him to babysit the child while you go out for dinner. The neighbour shouldn't have to babysit just because you asked him. He has to look after the child, so he has the choice to do it or not. You are responsible for this child whether he wants to babysit or not.
",1
"The father doesn't have to carry the baby for nine months and then have it wreak havoc on his body while he pushes it out of a hole four sizes too small. If he does make the offer to fully support the child without the mother being around, good for him, but he still can't force her to carry and birth it.
",1
